# PE headers - Illustrator 2026 - analise estatica (somente leitura)

Parser: DOS header e_lfanew -> assinatura PE -> COFF -> Optional Header -> secoes. Nada foi executado.
Legenda: size | formato(PE32/PE32+) | machine | subsys(2=Windows GUI) | linker(major.minor) | image base | characteristics dll flag | n de secoes | import table RVA/tamanho | secoes(nome:VA,rawsize)

Illustrator.exe | size=64253957 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.42 | base=0x140000000 | chars=0x22 dll=False | nSect=7 | impRVA=0x342AD68(sz0x6CC) | sec: .text:VA0x1000,raw0x2A62800 .rdata:VA0x2A64000,raw0x9FE200 .data:VA0x3463000,raw0xCEC00 .pdata:VA0x379C000,raw0x27D200 _RDATA:VA0x3A1A000,raw0x200 .rsrc:VA0x3A1B000,raw0x54D600 .reloc:VA0x3F69000,raw0x4A200
AIRobin.exe | size=455672 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.42 | base=0x140000000 | chars=0x22 dll=False | nSect=6 | impRVA=0x1B44C(sz0x1CC) | sec: .text:VA0x1000,raw0x11A00 .rdata:VA0x13000,raw0xB400 .data:VA0x1F000,raw0x1200 .pdata:VA0x22000,raw0x1200 .rsrc:VA0x24000,raw0x4D000 .reloc:VA0x71000,raw0x400
CEPHtmlEngine.exe | size=4861432 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.0 | base=0x140000000 | chars=0x22 dll=False | nSect=9 | impRVA=0x4150AB(sz0x258) | sec: .text:VA0x1000,raw0x35A400 .rdata:VA0x35C000,raw0x104600 .data:VA0x461000,raw0x8400 .pdata:VA0x56C000,raw0x29800 .00cfg:VA0x596000,raw0x200 .gehcont:VA0x597000,raw0x200 .tls:VA0x598000,raw0x200 .rsrc:VA0x599000,raw0x6C00 .reloc:VA0x5A0000,raw0x8800
AISafeModeLauncher.exe | size=1667064 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.42 | base=0x140000000 | chars=0x22 dll=False | nSect=6 | impRVA=0x17D29C(sz0x104) | sec: .text:VA0x1000,raw0x150400 .rdata:VA0x152000,raw0x2D400 .data:VA0x180000,raw0x6400 .pdata:VA0x187000,raw0xF000 .rsrc:VA0x196000,raw0x600 .reloc:VA0x197000,raw0x1000
AIMonitor.exe | size=1367032 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.42 | base=0x140000000 | chars=0x22 dll=False | nSect=6 | impRVA=0xEC984(sz0x190) | sec: .text:VA0x1000,raw0xC6000 .rdata:VA0xC7000,raw0x2A000 .data:VA0xF1000,raw0x6C00 .pdata:VA0xF9000,raw0x6800 .rsrc:VA0x100000,raw0x4D000 .reloc:VA0x14D000,raw0xA00
IllustratorDiagnosys.exe | size=645112 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.42 | base=0x140000000 | chars=0x22 dll=False | nSect=6 | impRVA=0x44CA8(sz0x1CC) | sec: .text:VA0x1000,raw0x30C00 .rdata:VA0x32000,raw0x17A00 .data:VA0x4A000,raw0x2400 .pdata:VA0x4D000,raw0x2A00 .rsrc:VA0x50000,raw0x4D000 .reloc:VA0x9D000,raw0x600
AISniffer.exe | size=297464 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.42 | base=0x140000000 | chars=0x22 dll=False | nSect=6 | impRVA=0x3EC54(sz0x1CC) | sec: .text:VA0x1000,raw0x2C000 .rdata:VA0x2D000,raw0x14E00 .data:VA0x42000,raw0x2000 .pdata:VA0x45000,raw0x2200 .rsrc:VA0x48000,raw0x600 .reloc:VA0x49000,raw0x600
CRWindowsClientService.exe | size=1741304 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.42 | base=0x140000000 | chars=0x22 dll=False | nSect=6 | impRVA=0x17AC90(sz0x1F4) | sec: .text:VA0x1000,raw0x149E00 .rdata:VA0x14B000,raw0x34200 .data:VA0x180000,raw0x4400 .pdata:VA0x186000,raw0xBA00 .rsrc:VA0x192000,raw0x17800 .reloc:VA0x1AA000,raw0xE00
AGM.dll | size=13677048 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.42 | base=0x180000000 | chars=0x2022 dll=True | nSect=6 | impRVA=0xC6CB9C(sz0x474) | sec: .text:VA0x1000,raw0x615600 .rdata:VA0x617000,raw0x65C800 .data:VA0xC74000,raw0x46400 .pdata:VA0xCF2000,raw0x3FE00 .rsrc:VA0xD32000,raw0x600 .reloc:VA0xD33000,raw0xFE00
AdobePIE.dll | size=62496248 | PE32+ | machine=AMD64(0x8664) | subsys=3 | linker=14.42 | base=0x180000000 | chars=0x2022 dll=True | nSect=7 | impRVA=0x386CB0C(sz0x398) | sec: .text:VA0x1000,raw0x2D44200 .rdata:VA0x2D46000,raw0xB30400 .data:VA0x3877000,raw0x129800 .pdata:VA0x39EB000,raw0x1C0A00 _RDATA:VA0x3BAC000,raw0x200 .rsrc:VA0x3BAD000,raw0x400 .reloc:VA0x3BAE000,raw0x38200
AILib.dll | size=26126328 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.42 | base=0x180000000 | chars=0x2022 dll=True | nSect=7 | impRVA=0x1357B74(sz0x3C0) | sec: .text:VA0x1000,raw0xE7D800 .rdata:VA0xE7F000,raw0x4E7800 .data:VA0x1367000,raw0x68000 .pdata:VA0x1438000,raw0x9F200 _RDATA:VA0x14D8000,raw0x200 .rsrc:VA0x14D9000,raw0x45EE00 .reloc:VA0x1938000,raw0x1C800
dvaui.dll | size=31551480 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.42 | base=0x180000000 | chars=0x2022 dll=True | nSect=6 | impRVA=0xD1B294(sz0x294) | sec: .text:VA0x1000,raw0x809000 .rdata:VA0x80A000,raw0x52E600 .data:VA0xD39000,raw0x90A00 .pdata:VA0xDD7000,raw0x61000 .rsrc:VA0xE38000,raw0xFB3800 .reloc:VA0x1DEC000,raw0x37A00
dynamic-torqnative.dll | size=63968261 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.42 | base=0x180000000 | chars=0x2022 dll=True | nSect=9 | impRVA=0x4028488(sz0x334) | sec: .text:VA0x1000,raw0x2BEC200 .rdata:VA0x2BEE000,raw0xE4BA00 .data:VA0x3A3A000,raw0xD5A00 .pdata:VA0x3E8E000,raw0x196400 .idata:VA0x4025000,raw0xF400 .tls:VA0x4035000,raw0x800 .00cfg:VA0x4036000,raw0x200 .rsrc:VA0x4037000,raw0xA00 .reloc:VA0x4038000,raw0x4A400
libdynamic-napi.dll | size=32299000 | PE32+ | machine=AMD64(0x8664) | subsys=2 | linker=14.42 | base=0x180000000 | chars=0x2022 dll=True | nSect=9 | impRVA=0x1ED0B60(sz0x1E0) | sec: .text:VA0x1000,raw0x1919400 .rdata:VA0x191B000,raw0x42EA00 .data:VA0x1D4A000,raw0x38E00 .pdata:VA0x1DBC000,raw0x113000 .idata:VA0x1ECF000,raw0x8200 .tls:VA0x1ED8000,raw0x400 .00cfg:VA0x1ED9000,raw0x200 .rsrc:VA0x1EDA000,raw0x600 .reloc:VA0x1EDB000,raw0x2E000
